Ticker,Cluster_K20,Cluster_K30,Cluster_K40,Cluster_K50
a,2,23,17,36
aa,12,25,31,22
aaba,1,9,20,39
aap,10,3,22,0
aapl,15,0,1,39
abb,8,25,9,38
abc,10,3,27,41
abev,1,3,1,16
abt,10,1,16,41
abx,4,4,35,4
acm,3,23,2,36
acn,1,9,1,39
adbe,15,9,2,3
adi,15,29,30,32
adm,1,3,1,30
adp,1,3,27,30
ads,1,9,22,39
adsk,15,0,13,47
aee,10,1,16,8
aem,4,4,35,4
aeo,14,21,11,31
aep,10,1,16,8
aer,3,23,2,10
aes,3,9,2,10
aet,1,9,20,45
afl,11,18,39,21
agco,2,23,17,22
agn,10,3,27,41
agnc,10,1,16,8
ago,11,22,38,35
agu,8,25,33,46
aig,11,22,23,48
aiz,1,18,23,42
akam,15,0,13,47
aks,12,20,14,19
alb,2,23,17,36
algn,13,23,17,36
alk,3,19,24,18
alks,13,27,34,23
all,1,18,27,42
alv,2,23,17,36
alxn,13,27,34,23
amat,15,29,30,32
amd,16,13,10,12
ame,3,9,2,10
amg,2,23,39,21
amgn,10,3,27,41
amp,11,18,39,21
amt,10,3,16,8
amtd,3,18,23,42
amx,1,9,1,16
amzn,14,0,22,0
an,14,21,22,0
andv,5,17,33,24
anf,14,21,11,20
anss,15,0,13,3
antm,1,3,20,45
aon,1,3,27,30
apa,5,17,33,2
apc,5,17,3,24
apd,1,9,1,16
aph,15,29,30,3
are,19,24,15,15
arrs,15,29,30,3
arw,15,29,30,32
asml,15,29,30,3
atge,1,3,20,45
athn,15,0,13,47
ati,12,20,14,19
atvi,1,3,27,39
au,4,4,35,4
auy,4,4,35,4
avb,19,24,15,15
avgo,15,29,30,32
avp,1,3,27,30
avt,15,29,30,32
awk,10,1,16,8
axp,3,18,23,42
axs,10,3,27,30
ayi,2,23,17,36
azn,10,3,27,16
azo,10,1,16,41
ba,3,9,2,10
bac,11,22,38,13
bam,1,9,1,16
bap,1,3,1,16
bax,10,3,27,41
bb,16,6,18,34
bbby,14,21,22,0
bbd,8,25,31,1
bbl,8,25,31,1
bbt,11,18,23,42
bby,14,21,11,31
bce,10,1,16,41
bcr,10,3,27,41
bcs,11,2,28,27
bdx,10,3,27,41
ben,3,18,39,21
bf-b,10,1,16,41
bg,1,9,1,16
bhp,8,25,31,1
bid,2,11,12,6
bidu,17,16,37,25
big,14,21,11,31
biib,13,27,20,45
bk,11,18,23,42
bkd,2,23,17,36
blk,3,18,2,42
bmo,1,3,1,16
bmrn,13,27,34,23
bmy,10,1,16,41
bp,8,17,9,16
brcd,15,29,30,32
brk-a,1,3,27,30
brk-b,1,3,27,30
bsbr,8,25,31,38
bsx,1,9,20,45
bti,10,1,16,41
bud,1,3,1,16
bwa,2,23,17,36
bwld,14,21,22,0
bx,2,23,39,21
bxp,19,24,15,15
c,11,22,38,13
ca,1,9,1,3
caa,7,8,5,14
cag,10,1,16,41
cah,1,3,27,30
cake,14,21,22,0
car,2,11,12,6
cat,8,23,17,22
cavm,16,13,25,12
cb,1,3,27,30
cbg,2,11,39,21
cbi,2,11,17,22
cboe,10,3,27,45
cbs,2,23,17,36
cce,1,9,1,16
cci,10,3,1,39
ccj,8,25,33,46
cck,1,3,1,30
ccl,3,18,2,10
cde,4,4,4,33
cdns,15,29,30,3
ce,2,11,17,22
celg,13,27,20,45
ceo,8,25,31,38
cern,1,9,20,39
cf,8,25,33,46
chd,10,1,16,41
chk,5,5,3,2
chkp,15,9,1,3
chl,10,3,16,16
chrw,1,3,1,30
chs,14,21,11,31
chtr,10,3,27,41
ci,1,9,20,45
cie,5,5,3,28
cien,16,13,25,12
cit,3,18,2,42
cl,10,1,16,41
clb,8,17,33,2
clf,12,20,14,19
clr,5,5,3,28
clx,10,1,16,41
cma,11,22,23,48
cmc,12,11,17,22
cmcsa,1,9,1,30
cme,1,18,1,42
cmg,14,21,22,0
cmi,2,11,17,22
cnc,13,27,34,23
cni,1,9,1,16
cnq,5,17,33,24
cnx,5,5,3,28
cof,11,18,23,42
cog,5,5,3,28
col,1,9,1,30
coo,1,9,20,45
cop,1,17,33,16
cost,10,1,16,41
cp,3,9,2,10
cpa,1,9,22,39
cpb,10,1,16,41
cpn,1,3,27,8
cpt,19,24,15,15
cree,16,13,10,12
cri,14,21,22,0
crl,1,9,20,45
crm,15,0,13,47
crox,14,21,36,20
crus,16,13,25,12
crzo,5,5,3,28
cs,11,2,28,27
csco,15,29,30,3
csiq,6,12,7,5
csx,3,23,2,10
ctas,1,9,1,30
ctl,10,1,16,8
ctrp,17,16,37,25
ctsh,15,29,13,3
ctxs,15,0,13,47
cve,8,17,33,24
cvs,1,3,27,30
cvx,1,3,1,16
cxo,5,5,3,28
cy,16,13,10,12
cyh,3,23,20,10
d,10,1,16,8
dal,3,19,24,18
dan,2,11,12,6
db,11,2,28,27
ddr,19,24,15,15
de,3,9,2,10
deck,14,21,36,20
deo,10,3,27,41
df,1,3,27,30
dfs,3,18,2,42
dg,10,1,22,41
dgx,10,3,27,41
dhi,7,8,5,49
dhr,1,9,2,10
dis,1,9,1,30
disca,1,9,22,39
disck,1,9,22,39
dish,1,9,1,39
dks,14,21,11,0
dlr,19,24,15,15
dltr,10,3,22,0
dnb,1,3,27,30
dnr,5,5,3,28
do,8,17,33,2
dov,3,23,17,36
dox,10,3,27,39
dps,10,1,16,41
dpz,14,9,22,0
dre,19,24,15,15
dri,1,3,22,0
drys,12,11,14,19
duk,10,1,16,8
dva,10,3,27,41
dvn,5,17,33,2
dwdp,2,23,17,22
eat,14,21,22,0
ebay,15,0,13,3
eca,5,17,33,2
ecl,1,3,1,30
ed,10,1,16,8
edu,17,16,37,25
egn,5,17,33,2
ego,4,4,4,33
eix,10,1,16,8
el,1,9,22,39
emn,2,23,17,36
emr,3,9,2,10
enb,10,3,16,8
endp,1,3,20,45
enr,1,3,27,30
eog,5,17,33,24
epc,1,3,27,30
epd,10,1,16,8
eqix,15,0,13,47
eqr,19,24,15,15
eqt,5,17,33,2
eric,8,29,9,38
erj,3,9,2,10
es,10,1,16,8
esrx,1,3,1,16
ess,19,24,15,15
esv,5,17,33,2
ete,10,3,27,8
etfc,11,22,39,21
etn,3,23,17,36
etr,10,1,16,8
ev,11,18,39,21
ew,1,3,20,45
exc,10,1,16,8
exp,2,23,32,11
expd,3,9,2,10
expe,15,0,13,39
exr,19,24,15,15
f,3,23,2,36
fast,3,9,2,10
fcx,12,20,14,1
fds,1,9,1,39
fdx,3,9,2,10
fe,10,1,16,8
ffiv,16,13,25,12
fis,1,3,27,30
fisv,1,9,1,39
fitb,11,22,23,48
fl,14,21,11,31
flex,15,29,30,32
flir,1,9,2,3
flr,2,23,17,22
fls,2,23,17,36
fmc,3,9,2,10
fmx,1,3,1,16
fnf,1,3,27,30
fnsr,16,13,25,12
fosl,14,21,36,20
fox,3,9,2,10
foxa,3,9,2,10
frt,19,24,15,15
fslr,6,7,26,37
fti,5,17,33,24
ftnt,15,0,13,47
ftr,10,3,27,8
fwona,3,9,2,10
gd,1,9,1,30
ge,1,18,2,42
ges,14,21,11,20
gg,4,4,35,4
ggb,12,25,31,1
ggp,19,24,15,15
gild,13,27,20,45
gis,10,1,16,41
glw,3,29,2,3
gme,14,21,22,0
gnw,11,22,38,13
gold,4,4,35,4
googl,1,9,1,39
gpn,1,9,1,39
gpor,5,5,3,28
gps,14,21,11,31
gra,2,23,17,36
grmn,1,9,1,39
gs,11,18,23,42
gsk,10,1,16,41
gt,2,11,12,6
gww,1,9,1,10
gxp,10,1,16,8
hain,1,9,1,39
hal,5,5,3,24
has,1,3,22,39
hban,11,22,38,48
hbi,14,21,11,31
hcn,19,24,15,15
hcp,19,24,15,15
hd,1,3,22,30
hdb,8,25,9,38
hes,5,17,33,24
hig,11,22,38,13
hl,4,4,4,33
hlf,14,9,20,10
hlx,5,5,3,28
hog,2,23,17,36
holx,1,9,20,45
hon,3,9,2,10
hp,5,5,3,28
hpq,15,29,30,3
hrb,1,9,20,30
hrl,10,1,16,41
hrs,3,9,2,3
hsbc,8,18,9,38
hsic,1,9,20,45
hst,19,24,39,15
hsy,10,1,16,41
htz,2,11,12,6
hum,1,3,20,45
hun,2,11,12,6
iac,1,3,1,39
iag,4,4,4,33
ibm,1,3,1,16
ibn,8,25,31,38
ice,1,9,1,39
idti,16,13,10,12
idxx,1,9,1,39
ilmn,13,27,20,45
incy,13,27,34,23
infy,8,29,9,38
ing,11,2,28,27
ingr,1,9,1,10
intc,15,29,30,3
intu,1,9,1,39
ions,13,27,34,23
ip,2,23,17,36
ipg,2,23,17,36
ir,3,23,17,36
irm,1,3,1,30
isrg,1,9,1,39
itt,3,9,2,10
itub,8,25,31,1
itw,3,9,2,10
ivz,11,18,39,21
jaso,6,12,7,5
jazz,14,0,13,47
jbht,3,9,22,10
jbl,16,13,10,12
jblu,3,19,24,18
jci,1,9,1,30
jcp,14,21,11,31
jec,2,23,17,36
jhg,11,22,39,21
jll,2,23,17,36
jnj,10,1,16,41
jnpr,16,13,10,12
jpm,11,22,23,48
jwn,14,21,11,31
k,10,1,16,41
kbh,7,8,5,14
kbr,2,23,17,22
key,11,22,23,48
kgc,4,4,35,4
kim,19,24,15,15
kkr,3,18,20,10
klac,15,29,30,32
kmb,10,1,16,41
kmx,14,21,11,31
ko,10,1,16,41
kr,10,1,16,41
kss,14,21,11,31
ksu,2,23,17,36
l,1,9,1,30
lamr,2,23,17,36
laz,11,18,39,21
lb,14,21,11,31
lbtya,1,9,1,39
lbtyk,1,9,1,39
ldos,1,3,27,30
lea,3,23,2,10
len,7,8,5,49
lfc,8,25,9,38
lh,10,3,27,41
lii,3,23,2,11
lkq,3,9,2,10
ll,14,23,32,11
lll,1,3,27,30
lly,10,1,16,41
lm,11,18,39,21
lmt,10,3,27,41
lnc,11,22,39,13
lng,18,14,19,29
lnt,10,1,16,8
low,1,9,22,0
lpt,19,24,15,15
lrcx,15,29,30,32
luk,11,18,39,21
lulu,14,21,36,20
luv,3,19,24,30
lvlt,3,23,13,47
lvs,2,16,37,25
lyb,2,23,17,36
m,14,21,11,31
ma,1,9,1,39
maa,19,24,15,15
mac,19,24,15,15
man,2,23,17,36
mar,3,23,2,36
mas,7,8,32,49
mat,1,3,22,39
mbi,11,22,38,35
mbt,8,25,9,16
mcd,10,1,16,41
mchp,15,29,30,32
mck,10,3,27,41
mco,3,18,2,10
mdc,7,8,5,49
mdlz,10,1,16,41
mdr,5,11,17,22
mdt,1,3,27,30
meli,15,0,13,47
met,11,22,39,21
mfc,11,18,39,21
mga,3,23,17,36
mgm,2,11,12,6
mhk,2,23,32,11
mkc,10,1,16,41
mlco,17,16,37,25
mlm,3,23,2,10
mmc,1,3,27,30
mmm,1,9,1,30
mo,10,1,16,41
mon,1,9,1,16
mos,8,25,33,46
mrk,10,1,16,41
mro,5,17,33,2
mrvl,15,29,10,32
ms,11,22,38,13
msci,3,18,2,10
msft,1,3,1,39
msi,1,9,1,39
mt,12,20,28,1
mtb,11,18,23,42
mtd,3,23,2,10
mtg,0,10,6,9
mtl,12,20,14,43
mtw,2,11,0,26
mu,16,13,10,12
mur,8,17,33,2
mxim,15,29,30,32
mygn,1,9,20,45
myl,1,9,20,45
nbl,5,17,33,2
nbr,5,5,3,28
ncr,15,29,30,3
ndaq,3,18,2,42
ne,5,17,33,2
nee,10,1,16,8
nem,4,4,35,4
nflx,17,26,37,40
nfx,5,5,3,28
nke,14,21,22,0
nly,10,1,16,8
nnn,19,24,15,15
noc,1,3,27,30
nok,8,2,29,38
nov,5,17,33,24
nrg,1,3,27,16
nsc,3,9,2,10
ntap,15,29,30,32
ntes,17,16,37,25
ntrs,1,18,23,42
nuan,15,0,13,47
nue,8,25,17,22
nus,14,9,22,0
nvda,16,13,10,32
nvo,1,3,1,16
nvr,1,3,27,30
nvs,10,1,16,41
nwl,3,9,2,10
nxpi,16,13,10,12
nycb,1,18,27,42
o,19,24,15,15
oas,5,5,3,28
oc,2,23,32,11
odp,2,11,12,6
ohi,19,24,15,15
oi,2,23,17,22
oii,5,17,33,24
ois,5,5,3,24
oke,1,3,1,16
omc,1,9,1,10
on,16,13,10,12
orcl,15,29,30,3
orly,10,3,22,0
osk,2,11,12,6
oxy,8,17,33,2
paa,10,1,16,8
paas,4,4,4,33
pay,15,0,13,47
payx,1,3,27,30
pbct,1,3,27,30
pbr,8,25,31,1
pbr-a,8,25,31,38
pcar,3,23,17,36
pcg,10,1,16,8
pcln,15,0,13,47
peg,10,1,16,8
pep,10,1,16,41
pfe,10,3,16,41
pfg,11,22,39,21
pg,10,1,16,41
pgr,1,3,27,30
ph,3,23,17,36
phg,11,2,9,38
phm,7,8,5,14
pii,14,21,13,36
pkg,3,9,2,10
pkx,8,25,31,38
plce,14,21,11,31
pld,19,24,15,15
pm,10,1,16,41
pnc,11,18,23,42
pnr,3,23,2,10
pot,8,25,33,46
ppg,3,9,2,10
ppl,10,1,16,8
prgo,1,3,20,45
pru,11,18,39,21
psa,19,24,15,15
pten,5,5,3,28
ptr,8,25,9,38
pvh,14,21,11,20
pwr,3,23,2,10
px,1,3,1,16
pxd,5,5,3,28
qcom,15,29,30,3
qep,5,17,33,2
qvca,3,9,2,10
rad,3,23,20,36
rcl,2,11,12,6
rdc,5,17,33,24
rdn,0,10,6,9
rds-a,1,3,1,16
rds-b,1,3,1,16
re,10,3,27,30
reg,19,24,15,15
regn,13,27,34,23
rf,11,22,38,48
rgld,4,4,35,4
rht,15,0,13,47
rig,8,17,33,2
rio,12,20,31,1
rjf,11,18,39,21
rl,14,21,11,31
rmbs,16,13,10,12
rmd,1,9,20,45
rnr,10,3,27,41
rok,2,23,17,36
rop,3,9,2,10
rost,14,21,22,0
rrc,5,5,3,2
rs,2,11,17,22
rsg,1,3,27,30
rtn,1,3,27,30
ry,1,9,1,16
ryn,19,24,15,15
s,3,9,2,10
san,11,2,28,27
sanm,16,13,25,12
sap,1,9,9,3
sbac,10,3,1,8
sbux,14,9,22,0
scco,12,25,31,1
scg,10,1,16,8
schw,11,18,23,42
sdrl,8,17,33,24
sfun,17,28,21,17
shld,14,21,11,31
shpg,1,3,1,16
shw,1,3,22,39
sid,12,20,31,1
sig,3,9,2,10
sina,17,28,21,44
siri,3,9,2,10
sivb,11,18,23,21
six,1,3,27,39
sjm,10,1,16,41
skx,14,21,11,31
slb,5,17,33,24
slg,19,24,15,15
slm,11,18,23,42
sm,5,5,3,28
sne,1,18,2,42
snh,19,24,15,15
sni,1,9,1,10
snps,1,3,1,39
sny,1,9,9,16
so,10,1,16,8
sohu,17,28,21,44
spg,19,24,15,15
spgi,1,9,1,30
spn,5,5,3,28
spr,3,23,2,36
spxc,2,23,17,36
srcl,1,3,27,30
sre,10,1,16,8
srpt,9,15,8,7
ssys,16,13,12,12
st,3,9,20,45
sti,11,22,38,48
stld,12,20,14,22
sto,8,25,9,38
stt,11,18,23,42
stwd,10,3,27,8
stx,15,29,13,32
stz,1,3,1,30
su,5,17,33,24
swk,3,23,2,36
swks,16,13,25,12
swn,5,17,33,2
syk,1,3,27,30
symc,15,29,30,3
syna,15,29,30,32
syy,10,1,16,41
t,10,1,16,41
tap,10,3,27,41
tco,19,24,15,15
td,1,9,1,16
tdc,15,0,13,47
tdg,1,9,1,39
tdw,8,17,33,2
teck,12,20,14,19
tef,8,2,9,38
tel,15,29,30,3
ter,16,13,10,12
teva,10,3,16,41
tex,2,11,0,26
tgna,2,23,39,11
tgt,10,1,16,41
thc,3,23,17,11
tif,14,21,11,20
tivo,15,0,13,47
tjx,10,3,22,0
tkr,2,11,17,36
tm,1,3,1,30
tmo,1,9,20,10
tmus,3,23,2,10
tol,7,8,5,49
tot,8,25,9,38
tpr,14,21,11,20
tpx,14,21,32,11
trmb,15,0,13,47
trn,2,11,12,6
trow,11,18,39,21
trv,1,3,27,30
ts,8,25,31,38
tsco,14,21,22,0
tsla,13,27,34,23
tsm,15,29,30,3
tsn,1,3,27,30
tss,1,9,1,39
ttm,8,25,31,38
ttwo,15,0,13,47
tup,3,9,2,10
tv,3,9,2,10
two,10,1,16,8
twx,1,9,1,10
txn,15,29,30,32
txt,2,23,17,36
uaa,14,21,36,20
ual,3,19,24,18
udr,19,24,15,15
uhs,3,9,20,45
ul,10,3,1,16
ulta,14,21,11,20
un,1,3,1,16
unh,1,3,27,45
unm,11,18,23,42
unp,3,9,2,10
ups,1,3,27,30
urbn,14,21,11,31
uri,2,11,0,26
usb,11,18,23,42
usg,7,8,5,14
uthr,13,27,20,45
utx,1,9,1,16
v,1,9,1,39
vale,12,25,31,1
var,1,9,20,45
vc,1,9,20,45
vfc,14,21,22,0
viav,16,13,25,12
vlo,5,17,33,24
vmc,3,23,17,11
vmw,15,0,13,47
vno,19,24,15,15
vod,1,3,27,16
vrsk,10,3,27,41
vrsn,1,9,20,39
vrtx,13,27,34,23
vrx,13,27,20,45
vtr,19,24,15,15
vz,10,1,16,8
wab,3,23,2,36
wat,3,9,2,10
wba,10,3,27,41
wbc,2,11,17,36
wcc,2,23,17,36
wcg,13,27,34,23
wdc,15,29,30,32
wdr,11,23,39,21
wec,10,1,16,8
wfc,11,18,23,42
wft,5,5,3,28
whr,2,23,32,11
win,10,3,16,8
wll,5,5,3,28
wltw,10,3,27,41
wm,1,3,27,30
wmb,8,17,33,2
wmt,10,1,16,41
wpm,4,4,4,33
wpz,10,3,16,8
wrb,10,3,27,30
wsm,14,21,11,31
wtw,1,9,20,45
wu,1,9,1,30
wy,3,23,2,10
wyn,3,23,2,36
wynn,2,16,13,47
x,12,20,14,19
xec,5,5,3,28
xel,10,1,16,8
xl,3,18,2,42
xlnx,15,29,30,32
xom,1,3,1,16
xrx,3,18,2,3
yum,1,3,22,39
