Ticker,Cluster
a,8
aa,10
aaba,8
aap,16
aapl,8
abb,8
abc,16
abev,16
abt,16
abx,3
acm,10
acn,16
adbe,8
adi,4
adm,16
adp,16
ads,8
adsk,4
aee,1
aem,3
aeo,6
aep,1
aer,10
aes,18
aet,16
afl,15
agco,10
agn,9
agnc,1
ago,15
agu,8
aig,15
aiz,16
akam,8
aks,12
alb,10
algn,8
alk,8
alks,9
all,16
alv,10
alxn,9
amat,4
amd,4
ame,8
amg,15
amgn,9
amp,15
amt,1
amtd,15
amx,8
amzn,8
an,6
andv,10
anf,6
anss,8
antm,16
aon,16
apa,2
apc,11
apd,8
aph,8
are,18
arrs,8
arw,4
asml,4
atge,8
athn,8
ati,12
atvi,16
au,3
auy,3
avb,18
avgo,4
avp,2
avt,4
awk,1
axp,8
axs,16
ayi,10
azn,16
azo,16
ba,8
bac,15
bam,16
bap,16
bax,16
bb,4
bbby,6
bbd,0
bbl,12
bbt,15
bby,6
bce,1
bcr,16
bcs,15
bdx,16
ben,15
bf-b,16
bg,16
bhp,12
bid,10
bidu,5
big,6
biib,9
bk,15
bkd,10
blk,8
bmo,16
bmrn,9
bmy,16
bp,2
brcd,4
brk-a,16
brk-b,16
bsbr,0
bsx,8
bti,16
bud,16
bwa,10
bwld,8
bx,10
bxp,18
c,15
ca,8
caa,13
cag,1
cah,16
cake,8
car,10
cat,10
cavm,4
cb,16
cbg,10
cbi,10
cboe,16
cbs,10
cce,16
cci,16
ccj,2
cck,16
ccl,8
cde,3
cdns,8
ce,10
celg,9
ceo,2
cern,8
cf,10
chd,1
chk,11
chkp,8
chl,16
chrw,16
chs,6
chtr,16
ci,16
cie,11
cien,4
cit,8
cl,1
clb,2
clf,12
clr,11
clx,1
cma,15
cmc,10
cmcsa,16
cme,16
cmg,6
cmi,10
cnc,8
cni,8
cnq,11
cnx,11
cof,15
cog,2
col,16
coo,16
cop,2
cost,1
cp,8
cpa,8
cpb,1
cpn,16
cpt,18
cree,4
cri,6
crl,8
crm,4
crox,6
crus,4
crzo,11
cs,15
csco,8
csiq,14
csx,8
ctas,16
ctl,1
ctrp,5
ctsh,8
ctxs,8
cve,2
cvs,16
cvx,2
cxo,11
cy,4
cyh,9
d,1
dal,8
dan,10
db,15
ddd,10
ddr,18
de,8
deck,6
deo,16
df,16
dfs,8
dg,16
dgx,16
dhi,13
dhr,8
dis,16
disca,8
disck,8
dish,8
dks,6
dlr,18
dltr,16
dnb,16
dnr,11
do,2
dov,10
dox,16
dps,1
dpz,8
dre,18
dri,16
drys,17
duk,1
dva,16
dvn,11
dwdp,10
eat,8
ebay,8
eca,11
ecl,16
ed,1
edu,5
egn,11
